mass	C_12	C_13	C_14	N_14	N_15	Mg_24	Mg_25	Mg_26	Mg_27	Al_26	Al_27	Si_28	Si_29	Si_30	Si_32	S_32	S_33	S_34	Ca_40	Ar_44	K_44	Ca_44	Sc_46	Ti_46	Ca_47	Sc_47	Ti_47	Sc_48	Ti_48	Ca_49	Sc_49	Ti_49	Ca_50	Sc_50	Ti_50	12C/13C	14N/15N	d29Si	d30Si	d33S	d34S	d25Mg	26Al/27Al	d44Ca	d46Ti	d47Ti	d49Ti	d50Ti
6.62293	4.81E-05	7.93E-10	1.52E-16	2.34E-12	1.35E-15	5.02E-06	1.20E-07	3.37E-10	2.21E-21	5.14E-10	5.48E-08	3.67E-05	1.26E-07	3.15E-07	1.48E-17	0.000134848	5.33E-07	4.66E-07	0.00118857	0	0	5.17E-14	2.70E-17	7.09E-09	0	4.82E-20	1.12E-08	3.19E-27	3.27E-12	0	0	2.82E-18	0	0	1.31E-22	65705	1858	0	0	0	0	0.181	0.016	0.000	20924.23	34709.14	0.000	0
6.62308	4.81E-05	7.93E-10	1.52E-16	2.34E-12	1.35E-15	5.01E-06	1.20E-07	3.36E-10	2.21E-21	5.13E-10	5.47E-08	3.67E-05	1.25E-07	3.15E-07	1.47E-17	0.00013466	5.32E-07	4.65E-07	0.00118699	0	0	5.16E-14	2.70E-17	7.08E-09	0	4.81E-20	1.12E-08	3.18E-27	3.27E-12	0	0	2.81E-18	0	0	1.31E-22	65644	1857	0	0	0	0	0.181	0.016	0.000	20926.69	34704.52	0.000	0
6.62323	4.80E-05	7.93E-10	1.52E-16	2.35E-12	1.35E-15	5.00E-06	1.19E-07	3.36E-10	2.20E-21	5.12E-10	5.46E-08	3.66E-05	1.25E-07	3.14E-07	1.47E-17	0.000134468	5.32E-07	4.64E-07	0.00118538	0	0	5.14E-14	2.69E-17	7.07E-09	0	4.79E-20	1.12E-08	3.17E-27	3.26E-12	0	0	2.81E-18	0	0	1.30E-22	65588	1856	0	0	0	0	0.181	0.016	0.000	20928.83	34699.99	0.000	0
6.62808	4.61E-05	7.93E-10	1.61E-16	2.44E-12	1.44E-15	4.80E-06	1.16E-07	3.23E-10	2.07E-21	5.01E-10	5.19E-08	3.51E-05	1.21E-07	2.96E-07	1.36E-17	0.000128921	5.22E-07	4.30E-07	0.00113662	0	0	4.69E-14	2.42E-17	6.75E-09	0	4.43E-20	1.05E-08	2.76E-27	3.08E-12	0	0	2.67E-18	0	0	1.21E-22	62972	1820	0	0	0	0	0.184	0.016	0.000	21177.81	34554.89	0.000	0
6.63293	4.36E-05	7.89E-10	1.71E-16	2.54E-12	1.53E-15	4.52E-06	1.12E-07	3.05E-10	1.91E-21	4.88E-10	4.83E-08	3.31E-05	1.15E-07	2.72E-07	1.22E-17	0.00012144	5.08E-07	3.87E-07	0.00107065	0	0	4.13E-14	2.08E-17	6.33E-09	0	4.01E-20	9.66E-09	2.31E-27	2.85E-12	0	0	2.50E-18	0	0	1.12E-22	59840	1782	0	0	1	0	0.187	0.017	0.000	21489.21	34362.97	0.000	0
6.6442	3.47E-05	7.55E-10	1.99E-16	2.89E-12	1.82E-15	3.61E-06	9.62E-08	2.45E-10	1.39E-21	4.52E-10	3.59E-08	2.61E-05	9.35E-08	1.95E-07	7.90E-18	9.63E-05	4.45E-07	2.58E-07	0.000846151	0	0	2.55E-14	1.23E-17	4.88E-09	0	2.80E-20	6.97E-09	0	2.10E-12	0	0	1.97E-18	0	0	7.87E-23	49894	1697	0	0	1	0	0.202	0.020	0.000	22417.61	33536.43	0.000	0
6.65545	2.31E-05	6.59E-10	2.24E-16	3.25E-12	2.10E-15	2.37E-06	7.17E-08	1.55E-10	8.32E-22	3.86E-10	2.04E-08	1.68E-05	6.27E-08	1.06E-07	3.61E-18	6.30E-05	3.25E-07	1.28E-07	0.000549508	0	0	1.12E-14	5.48E-18	3.03E-09	0	1.54E-20	3.86E-09	0	1.25E-12	0	0	1.27E-18	0	0	3.68E-23	37896	1660	0	0	1	0	0.229	0.027	0.000	23423.59	31187.90	0.000	0
6.66669	1.15E-05	4.72E-10	2.17E-16	3.22E-12	2.03E-15	1.09E-06	3.88E-08	6.87E-11	3.89E-22	2.43E-10	7.68E-09	7.88E-06	3.12E-08	3.64E-08	9.66E-19	3.04E-05	1.69E-07	3.98E-08	0.000261897	0	0	3.33E-15	1.50E-18	1.37E-09	0	5.60E-21	1.41E-09	0	5.46E-13	0	0	5.89E-19	0	0	9.22E-24	26502	1697	0	0	1	0	0.269	0.042	0.000	24272.71	26101.95	0.000	0
6.67791	3.47E-06	2.11E-10	1.42E-16	2.09E-12	1.23E-15	2.47E-07	9.72E-09	1.60E-11	9.87E-23	6.59E-11	1.39E-09	2.07E-06	8.48E-09	5.38E-09	9.92E-20	8.27E-06	4.56E-08	5.32E-09	7.01E-05	0	0	5.60E-16	1.41E-19	3.33E-10	0	9.32E-22	2.37E-10	0	1.34E-13	0	0	1.44E-19	0	0	9.22E-25	17805	1816	0	0	1	0	0.298	0.061	0.000	23966.44	17862.74	0.000	0
6.68911	1.37E-07	1.58E-11	1.62E-17	2.96E-13	1.23E-16	4.64E-09	1.61E-10	2.32E-13	1.35E-24	9.50E-13	1.52E-11	6.44E-08	2.29E-10	3.08E-11	1.86E-22	2.41E-07	1.08E-09	5.12E-11	1.94E-06	0	0	1.02E-17	2.66E-22	6.67E-12	0	8.86E-24	2.18E-12	0	3.17E-15	0	0	2.78E-21	0	0	2.21E-27	9374	2568	0	0	1	0	0.263	0.081	0.000	20328.87	6969.77	0.000	0
6.68981	7.13E-08	9.20E-12	9.36E-18	1.88E-13	7.02E-17	2.27E-09	7.52E-11	9.55E-14	5.56E-25	4.26E-13	6.45E-12	3.27E-08	1.12E-10	1.14E-11	5.00E-23	1.18E-07	5.05E-10	2.28E-11	9.48E-07	0	0	4.87E-18	8.58E-23	3.05E-12	0	3.73E-24	9.08E-13	0	1.51E-15	0	0	1.26E-21	0	0	0	8390	2874	0	0	1	0	0.251	0.084	0.000	19534.93	6090.01	0.000	0
6.69051	2.98E-08	4.42E-12	4.29E-18	1.01E-13	3.17E-17	9.21E-10	2.87E-11	2.89E-14	1.73E-25	1.53E-13	2.12E-12	1.34E-08	4.29E-11	3.22E-12	8.45E-24	4.52E-08	1.82E-10	7.92E-12	6.93E-07	0	0	7.73E-18	2.18E-23	4.80E-12	0	3.50E-24	8.06E-13	0	4.89E-15	0	0	3.85E-21	0	0	0	7290	3404	0	0	0	0	0.236	0.089	0.000	9498.81	1669.21	0.000	0
6.69086	1.43E-08	2.36E-12	2.12E-18	5.78E-14	1.55E-17	4.47E-10	1.32E-11	1.05E-14	6.59E-26	6.68E-14	8.54E-13	6.30E-09	1.92E-11	1.16E-12	1.87E-24	2.02E-08	7.68E-11	3.29E-12	1.15E-05	0	0	1.54E-16	1.23E-23	9.05E-11	0	5.29E-23	1.19E-11	0	8.71E-14	0	0	6.51E-20	0	0	8.16E-27	6543	3986	0	0	0	0	0.223	0.094	0.000	10039.47	1377.69	0.000	0
6.69296	4.96E-11	8.38E-15	1.52E-20	1.41E-16	7.42E-20	1.67E-12	1.92E-14	4.03E-18	0	4.29E-17	1.16E-15	8.07E-11	1.03E-13	2.44E-15	0	1.12E-07	1.68E-10	5.13E-12	0.0207302	0	0	3.53E-14	7.71E-21	5.49E-09	0	1.46E-20	2.49E-09	0	4.02E-12	0	0	5.84E-18	0	0	3.66E-25	6407	2032	0	0	0	0	0.087	0.042	0.000	13179.40	6273.26	0.000	0
6.7003	1.53E-08	5.51E-19	1.84E-12	3.24E-13	5.61E-12	3.01E-07	7.60E-16	1.60E-16	2.01E-26	5.74E-15	2.27E-11	0.0280661	3.24E-08	5.01E-09	8.14E-23	0.0495997	8.01E-07	4.26E-08	0.0564401	0	0	7.79E-15	5.32E-20	8.58E-08	0	1.70E-19	7.99E-10	0	2.33E-11	0	0	1.81E-15	0	0	7.48E-20	30080145693	0	0	0	0	0	0.000	0.000	0.000	35582.31	347.21	0.001	0
6.71146	1.40E-07	1.58E-17	1.51E-11	2.68E-12	4.53E-11	2.46E-06	1.18E-14	8.52E-16	8.73E-26	3.26E-14	1.25E-10	0.12673	1.87E-07	2.32E-08	2.89E-22	0.144095	2.22E-06	9.57E-08	0.0703817	0	0	6.53E-15	1.62E-19	2.26E-07	0	3.81E-19	1.70E-09	0	3.66E-11	0	0	2.72E-15	0	0	1.55E-19	9571547421	0	0	0	0	0	0.000	0.000	0.000	59641.46	469.75	0.001	0
6.71983	3.45E-07	6.25E-17	3.60E-11	6.41E-12	1.07E-10	5.73E-06	4.03E-14	1.27E-15	1.72E-25	5.12E-14	2.26E-10	0.226835	4.27E-07	4.38E-08	5.15E-22	0.21116	3.38E-06	1.22E-07	0.0698031	0	0	5.63E-15	3.02E-19	3.71E-07	0	5.44E-19	2.30E-09	0	3.80E-11	0	0	2.97E-15	0	0	2.24E-19	5974706629	0	0	0	0	0	0.000	0.000	0.000	94425.69	614.34	0.001	0
6.72962	8.17E-07	2.30E-16	7.67E-11	1.41E-11	2.27E-10	1.25E-05	1.32E-13	1.87E-15	3.31E-25	6.10E-14	3.45E-10	0.362445	9.86E-07	7.54E-08	8.51E-22	0.266078	4.75E-06	1.31E-07	0.0551616	0	0	3.87E-15	6.36E-19	6.60E-07	0	7.78E-19	3.05E-09	0	3.37E-11	0	0	2.94E-15	0	0	3.52E-19	3848139631	0	0	0	0	0	0.000	0.000	0.000	189364.81	918.24	0.001	0
6.73732	1.45E-06	5.27E-16	1.15E-10	2.20E-11	3.43E-10	2.05E-05	2.71E-13	1.72E-15	4.89E-25	6.19E-14	4.19E-10	0.460813	1.69E-06	9.97E-08	1.15E-21	0.278904	5.63E-06	1.24E-07	0.0395317	0	0	2.53E-15	1.18E-18	1.02E-06	0	1.00E-18	3.63E-09	1.43E-27	2.85E-11	0	0	2.74E-15	0	0	5.18E-19	2982792647	0	0	0	0	0	0.000	0.000	0.000	344094.43	1287.69	0.001	0
6.74501	2.17E-06	9.02E-16	1.42E-10	2.84E-11	4.28E-10	2.84E-05	4.12E-13	1.55E-15	6.56E-25	6.26E-14	4.69E-10	0.52671	2.43E-06	1.16E-07	1.40E-21	0.27494	6.27E-06	1.15E-07	0.0291046	0	0	1.79E-15	1.80E-18	1.38E-06	0	1.17E-18	3.97E-09	1.89E-27	2.39E-11	0	0	2.50E-15	0	0	6.90E-19	2605965589	0	0	0	0	0	0.000	0.000	0.000	556960.40	1680.32	0.001	0
6.7534	3.35E-06	1.77E-15	1.82E-10	3.81E-11	5.60E-10	2.68E-05	4.68E-13	1.26E-15	7.10E-25	5.79E-14	4.28E-10	0.530947	3.13E-06	1.25E-07	1.76E-21	0.288308	8.01E-06	1.28E-07	0.032965	0	0	2.34E-15	1.89E-18	1.27E-06	0	9.66E-19	3.05E-09	1.29E-27	1.53E-11	0	0	1.78E-15	0	0	7.49E-19	2045005485	0	0	0	0	0	0.000	0.000	0.000	802571.07	2022.42	0.002	0
6.76177	0.000121399	1.55E-12	4.48E-09	1.01E-09	1.37E-08	2.69E-05	1.71E-11	6.10E-13	1.28E-22	3.19E-11	7.95E-08	0.469808	5.38E-06	1.44E-07	3.40E-21	0.325051	1.67E-05	2.18E-07	0.0596213	0	0	8.00E-15	1.47E-18	7.09E-07	0	4.62E-19	1.15E-09	0	4.75E-12	0	0	6.31E-16	0	0	6.98E-19	84802806	0	0	0	0	0	0.000	0.000	0.000	1443159.86	2445.47	0.002	0
6.76734	0.00033876	3.78E-12	4.10E-09	1.27E-09	1.21E-08	0.000132641	1.43E-09	2.14E-11	4.45E-21	1.17E-09	9.28E-07	0.43152	2.01E-05	1.62E-07	3.74E-20	0.320343	6.04E-05	2.28E-06	0.0667028	0	0	1.16E-13	2.79E-17	2.39E-06	0	2.79E-18	1.16E-09	1.41E-25	2.11E-11	0	0	6.52E-16	0	0	1.26E-17	97060340	0	0	0	0	0	0.000	0.001	0.000	1096694.84	558.76	0.000	0
6.77291	0.000506122	6.12E-13	4.77E-10	5.27E-10	1.30E-09	0.000481269	3.49E-08	5.74E-09	2.43E-17	3.05E-09	2.82E-06	0.37725	0.000110621	2.12E-05	8.55E-16	0.281587	0.000337463	0.00151889	0.0580254	0	5.50E-25	8.41E-10	1.15E-12	9.91E-05	4.35E-23	7.31E-14	1.56E-07	1.06E-18	2.97E-08	0	1.59E-21	3.48E-12	0	0	1.33E-12	895667257	1	0	0	0	0	0.001	0.003	0.000	32278.42	53.39	0.002	0
6.77709	0.000585096	4.43E-13	2.94E-10	5.19E-10	7.94E-10	0.000832376	5.04E-08	1.69E-08	1.40E-16	3.86E-09	4.89E-06	0.318779	0.000140068	4.84E-05	4.75E-15	0.246608	0.000445752	0.00338802	0.0539561	0	9.67E-24	3.92E-09	8.05E-12	0.000232945	1.30E-21	7.67E-13	6.82E-07	2.42E-17	1.18E-07	0	2.65E-20	2.28E-11	0	0	8.71E-12	1431480863	1	0	0	0	0	0.000	0.004	0.000	19029.02	58.33	0.003	0
6.78126	0.000629757	3.83E-13	2.28E-10	5.02E-10	6.18E-10	0.00108223	6.26E-08	3.03E-08	3.62E-16	4.64E-09	6.49E-06	0.258772	0.000140079	6.68E-05	1.06E-14	0.220292	0.000495012	0.0050182	0.0586259	0	5.03E-23	1.02E-08	2.61E-11	0.000421446	8.62E-21	3.05E-12	1.75E-06	1.40E-16	2.96E-07	0	1.37E-19	7.44E-11	0	0	2.63E-11	1779034883	1	0	0	0	0	0.000	0.006	0.000	13760.00	59.80	0.003	0
6.78543	0.000655279	3.21E-13	2.01E-10	4.78E-10	4.84E-10	0.0012009	7.10E-08	4.17E-08	6.02E-16	5.30E-09	7.37E-06	0.214085	0.000128122	7.27E-05	1.48E-14	0.203225	0.000509117	0.00605364	0.0683419	0	1.28E-22	1.88E-08	5.39E-11	0.000666729	2.46E-20	6.86E-12	3.24E-06	3.76E-16	5.47E-07	0	3.55E-19	1.58E-10	0	0	5.30E-11	2214095718	2	0	0	0	1	0.000	0.007	0.000	11769.23	59.84	0.004	0
6.7896	0.00067232	3.13E-13	1.89E-10	4.61E-10	4.61E-10	0.00124363	7.55E-08	4.88E-08	7.73E-16	5.69E-09	7.73E-06	0.191402	0.000120684	7.37E-05	1.73E-14	0.194792	0.000515871	0.00657631	0.0748525	0	2.05E-22	2.56E-08	7.84E-11	0.000852057	4.14E-20	1.03E-11	4.44E-06	6.18E-16	7.43E-07	0	5.66E-19	2.31E-10	0	1.33E-27	7.33E-11	2324171903	2	0	0	0	1	0.000	0.007	0.000	11073.09	60.45	0.004	0
6.79515	0.000800924	3.59E-13	2.07E-10	5.09E-10	5.09E-10	0.00205579	1.10E-07	7.32E-08	1.38E-15	8.16E-09	9.88E-06	0.181908	0.00012937	7.90E-05	2.41E-14	0.205551	0.000594033	0.00773268	0.059429	0	3.05E-22	2.88E-08	9.73E-11	0.000893515	6.30E-20	1.34E-11	5.12E-06	9.10E-16	7.93E-07	0	7.48E-19	2.72E-10	0	2.08E-27	6.11E-11	2418646507	2	0	0	0	1	0.000	0.009	0.000	10883.04	65.37	0.005	0
6.79793	0.00124565	6.40E-13	3.34E-10	7.38E-10	8.18E-10	0.0052807	2.84E-07	1.73E-07	4.61E-15	2.16E-08	1.87E-05	0.178679	0.000144404	7.97E-05	3.43E-14	0.213651	0.000690587	0.00814144	0.0431328	0	4.76E-22	2.94E-08	1.15E-10	0.000783793	8.24E-20	1.38E-11	4.78E-06	1.07E-15	7.11E-07	0	8.23E-19	2.78E-10	0	3.48E-27	4.58E-11	2108910966	1	0	0	0	1	0.000	0.011	0.000	10649.44	68.08	0.005	0
6.8007	0.00229056	1.58E-12	6.45E-10	1.17E-09	1.57E-09	0.0102018	1.01E-06	6.19E-07	3.23E-14	9.13E-08	3.74E-05	0.181119	0.000186097	8.55E-05	7.70E-14	0.216232	0.000991588	0.00810316	0.0285671	0	2.12E-21	4.74E-08	2.79E-10	0.000588696	2.67E-19	1.68E-11	4.38E-06	1.87E-15	6.57E-07	0	1.41E-18	3.72E-10	0	1.29E-26	4.57E-11	1573838699	1	0	0	1	1	0.001	0.020	0.000	8652.05	67.37	0.008	0
6.80383	0.00507563	5.22E-12	1.33E-09	1.48E-09	3.26E-09	0.0149192	5.07E-06	3.79E-06	5.81E-13	7.28E-07	7.98E-05	0.195424	0.000238864	0.000118079	3.31E-13	0.219498	0.00225148	0.00802039	0.0167847	0	2.59E-20	8.71E-08	1.36E-09	0.000351068	3.94E-18	2.50E-11	3.64E-06	5.82E-15	6.11E-07	0	4.81E-18	7.79E-10	0	1.61E-25	5.45E-11	1054011568	1	0	0	1	1	0.003	0.059	0.000	5549.12	60.19	0.017	0
6.80695	0.0124021	1.45E-11	1.43E-09	1.06E-09	3.54E-09	0.0204952	1.60E-05	2.75E-05	1.74E-11	5.64E-06	0.000206489	0.22574	0.000390838	0.000297547	3.50E-12	0.215722	0.00442503	0.00914744	0.0080576	0	6.17E-19	1.00E-07	6.76E-09	0.000166923	1.78E-16	6.12E-11	2.88E-06	4.58E-14	8.44E-07	0	5.91E-17	3.84E-09	0	1.10E-23	1.14E-10	923961980	1	0	0	2	1	0.006	0.167	0.001	1910.16	34.55	0.061	0
6.81077	0.0455552	1.93E-10	4.39E-10	6.62E-10	8.02E-10	0.0474186	2.97E-05	0.000292284	2.07E-09	3.38E-05	0.00101176	0.281062	0.00248406	0.00313235	5.44E-10	0.177095	0.00617857	0.00818916	0.00226174	1.19E-23	5.12E-15	9.67E-07	2.27E-07	5.06E-05	1.29E-12	7.10E-09	4.17E-06	7.40E-11	5.10E-06	2.73E-22	3.02E-13	2.66E-07	0	1.35E-18	5.81E-08	255516437	1	0	0	4	1	0.005	0.335	0.018	96.24	8.28	0.696	0
6.81267	0.0976656	7.19E-10	3.18E-10	1.12E-09	4.38E-10	0.0892519	8.45E-05	0.000733808	1.45E-08	5.18E-05	0.00195548	0.286252	0.00526472	0.00709076	3.90E-09	0.128969	0.00499874	0.00462742	0.00092735	8.59E-21	5.31E-13	1.81E-06	6.40E-07	1.92E-05	3.63E-11	5.67E-08	3.81E-06	1.89E-09	5.80E-06	1.42E-19	2.23E-11	8.01E-07	6.03E-25	6.87E-16	4.18E-07	147083953	4	0	1	5	1	0.007	0.417	0.083	32.98	6.74	1.843	1
6.81458	0.193584	1.68E-09	3.72E-10	3.04E-09	4.87E-10	0.133277	0.000253084	0.00133411	4.86E-08	6.67E-05	0.00246795	0.243492	0.0079888	0.00912998	1.01E-08	0.0800669	0.0031932	0.00292167	0.000312174	1.03E-18	9.72E-12	1.79E-06	7.80E-07	6.50E-06	2.37E-10	1.57E-07	2.65E-06	1.24E-08	5.04E-06	1.27E-17	3.74E-10	1.47E-06	2.56E-22	5.97E-14	1.85E-06	124757435	8	1	1	5	1	0.014	0.589	0.242	13.92	5.62	3.870	5
6.81476	0.207807	1.64E-09	3.74E-10	3.08E-09	5.12E-10	0.133899	0.000252543	0.00139045	4.98E-08	7.01E-05	0.00243047	0.246095	0.00812491	0.00899382	9.48E-09	0.0822255	0.00326036	0.00283684	0.000329043	1.22E-18	1.01E-11	1.89E-06	8.27E-07	6.81E-06	2.48E-10	1.67E-07	2.94E-06	1.30E-08	5.48E-06	1.50E-17	3.87E-10	1.56E-06	3.34E-22	7.00E-14	1.80E-06	137360503	7	1	1	5	1	0.014	0.624	0.243	13.42	5.71	3.794	4
6.81493	0.221622	1.66E-09	3.79E-10	3.21E-09	5.29E-10	0.133881	0.000258028	0.00144583	5.24E-08	7.20E-05	0.00239574	0.24493	0.00825539	0.00893018	9.50E-09	0.0818132	0.00323624	0.00278792	0.000321254	1.58E-18	1.14E-11	1.94E-06	8.59E-07	6.73E-06	2.73E-10	1.79E-07	3.06E-06	1.43E-08	5.75E-06	1.99E-17	4.38E-10	1.67E-06	4.90E-22	8.98E-14	1.85E-06	144692103	7	1	1	5	1	0.015	0.658	0.255	12.72	5.68	3.866	4
6.81528	0.24976	1.72E-09	3.86E-10	3.51E-09	5.57E-10	0.132064	0.000269559	0.00155604	5.89E-08	7.40E-05	0.00231369	0.241017	0.00843161	0.00882506	9.96E-09	0.0796642	0.00314166	0.00274581	0.000290658	2.73E-18	1.48E-11	1.98E-06	9.22E-07	6.39E-06	3.35E-10	2.05E-07	3.20E-06	1.76E-08	6.25E-06	3.86E-17	5.86E-10	1.91E-06	1.18E-21	1.54E-13	1.97E-06	157066260	8	1	1	5	1	0.015	0.732	0.288	11.26	5.49	4.071	4
6.81598	0.305207	1.89E-09	4.05E-10	4.48E-09	5.93E-10	0.125093	0.000304852	0.00177167	7.94E-08	7.21E-05	0.00215987	0.22839	0.00829218	0.0088126	1.33E-08	0.0702116	0.00277057	0.00283983	0.000193133	8.31E-18	2.44E-11	1.93E-06	1.01E-06	5.30E-06	5.74E-10	2.83E-07	3.33E-06	3.22E-08	7.55E-06	3.39E-16	1.62E-09	2.55E-06	1.65E-20	7.08E-13	2.32E-06	175163787	9	1	1	5	1	0.018	0.886	0.422	8.04	4.82	4.492	4
6.81737	0.397911	1.95E-09	4.06E-10	5.65E-09	6.50E-10	0.108524	0.000297008	0.00192131	1.16E-07	6.02E-05	0.00204067	0.219871	0.00550785	0.00950157	2.42E-08	0.0580146	0.00225013	0.00338844	8.17E-05	1.90E-16	2.11E-11	1.97E-06	1.21E-06	5.54E-06	2.40E-09	7.67E-07	5.51E-06	1.43E-07	1.03E-05	2.66E-14	1.51E-08	2.90E-06	1.43E-16	1.51E-11	1.98E-06	221187573	10	0	1	5	1	0.021	1.008	1.020	6.26	6.10	3.732	3
6.81772	0.414484	1.61E-09	4.14E-10	5.15E-09	7.33E-10	0.104727	0.000252661	0.00181574	1.07E-07	5.76E-05	0.00204328	0.226119	0.00461042	0.00973627	2.31E-08	0.0585061	0.00221967	0.00353952	7.11E-05	8.14E-16	2.31E-11	2.02E-06	1.27E-06	5.94E-06	3.13E-09	9.32E-07	6.29E-06	1.77E-07	1.03E-05	5.06E-14	2.08E-08	2.65E-06	2.70E-15	2.76E-11	1.71E-06	279082579	8	0	1	5	1	0.018	0.952	1.198	6.65	6.98	3.407	2
6.81807	0.427928	1.32E-09	4.65E-10	4.38E-09	9.34E-10	0.101425	0.000204286	0.00163093	8.92E-08	5.38E-05	0.00205938	0.23371	0.00384762	0.0099783	1.97E-08	0.0594454	0.00219145	0.00367842	6.25E-05	3.17E-15	3.36E-11	2.06E-06	1.34E-06	6.33E-06	4.17E-09	1.11E-06	6.94E-06	2.14E-07	1.00E-05	8.50E-14	2.76E-08	2.39E-06	2.29E-14	8.04E-11	1.47E-06	352496021	6	0	1	4	1	0.015	0.850	1.395	7.24	7.96	3.153	2
6.81842	0.438563	9.57E-10	5.45E-10	3.48E-09	1.23E-09	0.0983842	0.000160074	0.00138204	6.64E-08	4.76E-05	0.00209714	0.24262	0.00325221	0.0101972	1.55E-08	0.0606892	0.00215967	0.00380252	5.48E-05	1.18E-14	6.11E-11	2.14E-06	1.43E-06	6.70E-06	5.85E-09	1.30E-06	7.38E-06	2.57E-07	9.49E-06	1.36E-13	3.61E-08	2.13E-06	1.21E-13	2.96E-10	1.25E-06	496241363	4	0	1	4	1	0.012	0.708	1.649	8.06	9.03	2.966	2
6.81877	0.44678	6.79E-10	5.93E-10	2.59E-09	1.45E-09	0.0951561	0.000124375	0.0010917	4.41E-08	3.86E-05	0.00217832	0.252809	0.00281675	0.0103623	1.19E-08	0.0622445	0.00212522	0.00391505	4.78E-05	4.20E-14	1.25E-10	2.26E-06	1.53E-06	6.98E-06	8.65E-09	1.51E-06	7.58E-06	3.07E-07	8.75E-06	2.20E-13	4.67E-08	1.88E-06	4.57E-13	8.65E-10	1.06E-06	712722027	2	0	1	4	1	0.010	0.539	2.003	9.08	10.18	2.837	2
6.81912	0.453016	4.43E-10	5.66E-10	1.85E-09	1.47E-09	0.0912963	9.73E-05	0.000793803	2.66E-08	2.90E-05	0.00231441	0.264245	0.00250551	0.0104512	9.33E-09	0.0641576	0.0020889	0.00402194	4.13E-05	1.46E-13	2.68E-10	2.45E-06	1.63E-06	7.15E-06	1.34E-08	1.74E-06	7.51E-06	3.65E-07	7.85E-06	3.93E-13	5.97E-08	1.64E-06	1.41E-12	1.93E-09	9.00E-07	1108432447	2	0	1	4	1	0.008	0.369	2.504	10.32	11.41	2.761	2
6.81947	0.456037	2.54E-10	4.37E-10	1.21E-09	1.17E-09	0.0834376	7.00E-05	0.000523512	1.44E-08	2.06E-05	0.00243315	0.281557	0.00219148	0.0103351	6.99E-09	0.0693333	0.00210712	0.00417837	3.80E-05	3.44E-13	4.59E-10	2.60E-06	1.63E-06	7.21E-06	1.85E-08	1.89E-06	7.37E-06	3.98E-07	6.96E-06	6.73E-13	6.92E-08	1.40E-06	3.03E-12	3.16E-09	7.59E-07	1947546973	2	0	1	4	1	0.006	0.232	2.885	11.60	12.76	2.664	1
6.81947	0.450581	1.80E-10	3.28E-10	8.71E-10	8.80E-10	0.0727781	5.12E-05	0.000485864	1.19E-08	1.90E-05	0.00225398	0.296763	0.00192383	0.00986315	5.60E-09	0.0799167	0.00229912	0.00435007	4.76E-05	1.03E-13	2.07E-10	2.30E-06	1.40E-06	7.36E-06	1.14E-08	1.61E-06	7.93E-06	3.07E-07	7.23E-06	3.66E-13	5.07E-08	1.32E-06	1.55E-12	2.23E-09	7.09E-07	2719247596	1	0	1	3	1	0.005	0.233	2.045	11.23	12.82	2.424	1
6.81948	0.445098	1.23E-10	2.37E-10	6.01E-10	6.34E-10	0.0614042	3.60E-05	0.000446724	9.78E-09	1.79E-05	0.00204091	0.309499	0.00167922	0.00928994	4.48E-09	0.0924833	0.00250702	0.00454817	6.01E-05	2.76E-14	8.70E-11	2.04E-06	1.18E-06	7.40E-06	6.76E-09	1.34E-06	8.46E-06	2.30E-07	7.48E-06	1.98E-13	3.60E-08	1.23E-06	7.38E-13	1.52E-09	6.57E-07	3905348711	1	0	1	3	1	0.004	0.236	1.439	10.76	12.87	2.189	1
6.81948	0.439587	8.24E-11	1.63E-10	3.93E-10	4.32E-10	0.0496876	2.41E-05	0.000405054	7.86E-09	1.73E-05	0.00179548	0.318847	0.00145763	0.00859224	3.58E-09	0.10746	0.00272851	0.00477556	7.62E-05	6.78E-15	3.42E-11	1.82E-06	9.82E-07	7.34E-06	3.85E-09	1.09E-06	8.94E-06	1.67E-07	7.70E-06	1.11E-13	2.47E-08	1.13E-06	3.31E-13	9.95E-10	6.01E-07	5781605114	1	0	1	3	1	0.004	0.244	1.011	10.23	12.91	1.962	1
6.81949	0.434026	5.31E-11	1.05E-10	2.36E-10	2.76E-10	0.0380868	1.51E-05	0.000359078	6.16E-09	1.70E-05	0.00152157	0.323514	0.00125886	0.00774085	2.85E-09	0.125447	0.00296151	0.00503243	9.77E-05	1.50E-15	1.24E-11	1.64E-06	7.97E-07	7.18E-06	2.10E-09	8.66E-07	9.37E-06	1.18E-07	7.88E-06	6.64E-14	1.63E-08	1.03E-06	1.38E-13	6.27E-10	5.43E-07	8848710850	1	0	1	3	1	0.003	0.257	0.711	9.65	12.96	1.745	1
6.81949	0.428381	3.33E-11	6.06E-11	1.21E-10	1.61E-10	0.0272128	8.71E-06	0.000306366	4.64E-09	1.70E-05	0.00122702	0.321849	0.00108225	0.00670905	2.24E-09	0.147164	0.00320003	0.00530961	0.000126949	2.94E-16	4.11E-12	1.51E-06	6.33E-07	6.93E-06	1.09E-09	6.68E-07	9.72E-06	7.95E-08	8.00E-06	4.38E-14	1.03E-08	9.21E-07	5.26E-14	3.77E-10	4.84E-07	13928580718	1	0	1	3	1	0.002	0.274	0.502	9.03	13.01	1.539	1
